id,document_id,line_item_id,total_price,status,description,created_at,updated_at,is_accepted,accepted_on,vendor_id,rejected_on,rushed,deadline,batch_no,shipped_at,production_time,ship_accuracy,ship_rating,quantity,unit_price,additional_cost,paid,origin,invoice_id,default_production_time,product,vendor
54,55,409,NULL,3,NULL,2018-05-17 12:33:32,2018-10-01 17:56:43,1,2018-05-18 00:40:25,322,NULL,0,NULL,2018-W19-2,2018-06-28 02:41:00,41,11,negative,1,NULL,0.00,1,0,3156,30,Custom Sample Production Hat,Hidy Zhao
55,56,842,NULL,3,NULL,2018-05-17 16:50:04,2018-10-01 17:56:43,1,2018-05-18 00:40:35,322,NULL,0,NULL,2018-W19-2,2018-07-02 03:14:55,45,15,negative,50,NULL,0.00,1,0,3324,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
56,57,858,NULL,3,NULL,2018-05-17 16:53:10,2018-10-01 17:56:43,1,2018-05-18 00:39:15,322,NULL,1,2018-07-10 00:00:00,2018-W19-2,2018-07-02 03:18:13,45,2,negative,50,NULL,0.00,1,0,3331,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
57,58,848,NULL,3,NULL,2018-05-17 20:14:25,2018-10-01 17:56:43,1,2018-05-18 00:40:31,322,NULL,0,NULL,2018-W19-2,2018-06-28 02:40:32,41,11,negative,200,NULL,0.00,1,0,3327,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
58,59,834,NULL,3,NULL,2018-05-18 01:10:06,2018-10-01 17:56:43,1,2018-05-18 04:44:24,322,NULL,0,NULL,2018-W19-2,2018-07-02 03:15:20,45,15,negative,300,NULL,0.00,1,0,3321,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
59,60,798,NULL,3,NULL,2018-05-19 01:18:14,2018-10-01 17:56:43,1,2018-05-23 03:30:48,322,NULL,0,NULL,2018-W19-2,2018-08-24 07:20:21,93,63,negative,50,NULL,0.00,1,0,3306,30,End of Year Special - 50pcs,Hidy Zhao
60,61,854,NULL,3,NULL,2018-05-20 18:55:19,2018-10-01 17:56:43,1,2018-05-23 03:30:58,322,NULL,0,NULL,2018-W20-2,2018-07-12 05:24:58,50,20,negative,30,NULL,0.00,1,0,3329,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
61,62,861,NULL,3,NULL,2018-05-21 18:42:02,2018-10-01 17:56:43,1,2018-06-05 05:49:22,322,NULL,1,2018-06-04 00:00:00,2018-W20-1,2018-07-02 03:10:20,27,38,negative,200,NULL,0.00,1,0,3332,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
62,63,861,NULL,3,NULL,2018-05-21 18:42:29,2018-10-01 17:56:43,1,2018-05-23 03:32:27,322,NULL,1,2018-07-04 00:00:00,2018-W20-1,2018-07-02 03:19:13,40,8,negative,200,NULL,0.00,1,0,3332,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
63,64,864,NULL,3,NULL,2018-05-21 19:22:42,2018-10-01 17:56:43,1,2018-05-23 03:31:14,322,NULL,0,NULL,2018-W20-1,2018-07-12 05:25:17,50,20,negative,30,NULL,0.00,1,0,3333,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
64,65,865,NULL,3,NULL,2018-05-21 19:22:57,2018-10-01 17:56:43,1,2018-05-23 03:31:19,322,NULL,0,NULL,2018-W20-1,2018-07-12 05:25:30,50,20,negative,30,NULL,0.00,1,0,3333,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
65,66,850,NULL,3,NULL,2018-05-22 01:23:48,2018-10-01 17:56:43,1,2018-05-23 03:31:31,322,NULL,0,NULL,2018-W20-1,2018-08-24 07:20:54,93,63,negative,125,NULL,0.00,1,0,3328,30,Trucker Mesh - 6 Panel - Custom QTY,Hidy Zhao
66,67,871,NULL,3,NULL,2018-05-22 02:39:47,2018-10-01 17:56:43,1,2018-05-23 03:31:39,322,NULL,0,NULL,2018-W20-1,2018-06-28 02:42:18,36,6,negative,1,NULL,0.00,1,0,3335,30,Custom Sample Production Hat,Hidy Zhao
67,68,856,NULL,3,NULL,2018-05-22 16:50:51,2018-10-01 17:56:43,1,2018-05-23 03:31:50,322,NULL,0,NULL,2018-W20-1,2018-08-06 05:43:29,75,45,negative,1,NULL,0.00,1,0,3330,30,Custom Sample Production Hat,Hidy Zhao
68,69,901,NULL,3,NULL,2018-05-23 16:00:56,2018-10-01 17:56:43,1,2018-05-24 02:46:43,322,NULL,0,NULL,2018-W20-1,2018-07-12 05:24:19,49,19,negative,100,NULL,0.00,1,0,3344,30,Trucker Mesh - 6 Panel - 100pcs,Hidy Zhao
69,70,888,NULL,3,NULL,2018-05-23 16:03:03,2018-10-01 17:56:43,1,2018-05-24 02:46:36,322,NULL,0,NULL,2018-W20-1,2018-07-02 03:16:58,39,9,negative,36,NULL,0.00,1,0,3340,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
70,71,905,NULL,3,NULL,2018-05-23 16:25:06,2018-10-01 17:56:43,1,2018-05-29 02:31:53,322,NULL,1,2018-06-12 00:00:00,2018-W20-1,2018-06-07 00:59:02,9,5,negative,100,NULL,0.00,1,0,3346,30,Custom Camp Cap - 5 Panel - 100pcs,Hidy Zhao
71,72,879,NULL,3,NULL,2018-05-23 16:44:51,2018-10-01 17:56:43,1,2018-05-29 02:39:10,322,NULL,1,2018-06-25 00:00:00,2018-W20-1,2018-07-02 03:14:24,34,17,negative,50,NULL,0.00,1,0,3338,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
72,73,879,NULL,3,NULL,2018-05-23 16:45:00,2018-10-01 17:56:43,1,2018-05-24 02:46:10,322,NULL,1,2018-06-25 00:00:00,2018-W20-1,2018-07-02 03:14:35,39,17,negative,50,NULL,0.00,1,0,3338,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
73,74,877,NULL,3,NULL,2018-05-23 17:56:48,2018-10-01 17:56:43,1,2018-05-24 02:46:30,322,NULL,0,NULL,2018-W20-1,2018-07-12 05:23:48,49,19,negative,30,NULL,0.00,1,0,3337,30,Custom Dad Cap - 30pcs,Hidy Zhao
74,75,867,NULL,3,NULL,2018-05-23 21:18:52,2018-10-01 17:56:43,1,2018-05-24 02:46:21,322,NULL,0,NULL,2018-W20-1,2018-07-12 05:23:22,49,19,negative,200,NULL,0.00,1,0,3334,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
75,76,912,NULL,3,NULL,2018-05-24 05:39:14,2018-10-01 17:56:43,1,2018-05-31 02:12:09,322,NULL,0,NULL,2018-W20-2,2018-07-12 05:23:01,42,12,negative,300,NULL,0.00,1,0,3347,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
76,77,909,NULL,3,NULL,2018-05-24 05:39:42,2018-10-01 17:56:43,1,2018-05-31 02:12:20,322,NULL,0,NULL,2018-W20-2,2018-07-12 05:22:30,42,12,negative,250,NULL,0.00,1,0,3320,30,Custom Camp Cap - 5 Panel - 250pcs,Hidy Zhao
78,79,926,NULL,3,NULL,2018-05-25 23:14:06,2018-10-01 17:56:43,1,2018-05-31 02:12:43,322,NULL,0,NULL,2018-W20-2,2018-07-02 03:20:01,32,2,negative,150,NULL,0.00,1,0,3353,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
79,80,926,NULL,3,NULL,2018-05-25 23:14:15,2018-10-01 17:56:43,1,2018-05-31 02:12:52,322,NULL,0,NULL,2018-W20-2,2018-07-02 03:20:17,32,2,negative,150,NULL,0.00,1,0,3353,30,Custom Camp Cap - 5 Panel - Custom QTY,Hidy Zhao
80,81,927,NULL,3,NULL,2018-05-25 23:14:39,2018-10-01 17:56:43,1,2018-05-31 02:13:02,322,NULL,0,NULL,2018-W20-2,2018-07-02 03:20:30,32,2,negative,50,NULL,0.00,1,0,3353,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
81,82,873,NULL,3,NULL,2018-05-28 00:15:33,2018-10-01 17:56:43,1,2018-05-31 02:13:40,322,NULL,0,NULL,2018-W21-1,2018-07-02 03:21:47,32,2,negative,30,NULL,0.00,1,0,3336,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
82,83,933,NULL,3,NULL,2018-05-30 21:56:41,2018-10-01 17:56:43,1,2018-05-31 02:13:54,322,NULL,0,NULL,2018-W21-1,2018-07-12 05:22:12,42,12,negative,50,NULL,0.00,1,0,3355,30,Strapback - 6 Panel - 50pcs,Hidy Zhao
83,84,893,NULL,3,NULL,2018-05-30 22:11:07,2018-10-01 17:56:43,1,2018-06-05 05:47:06,322,NULL,1,2018-07-01 00:00:00,2018-W21-1,2018-09-18 14:45:49,105,89,negative,100,NULL,0.00,1,0,3342,30,Trucker Mesh - 6 Panel - 100pcs,Hidy Zhao
84,85,894,NULL,3,NULL,2018-05-30 22:11:35,2018-10-17 00:48:37,1,2018-06-05 05:47:31,322,NULL,1,2018-07-01 00:00:00,2018-W21-1,2018-10-17 00:48:37,134,118,negative,50,NULL,0.00,1,0,3342,30,Custom Camp Cap - 5 Panel - 50pcs,Hidy Zhao
85,86,895,NULL,3,NULL,2018-05-30 22:11:54,2018-10-01 17:56:43,1,2018-06-05 05:47:51,322,NULL,1,2018-07-01 00:00:00,2018-W21-1,2018-07-12 05:20:57,37,21,negative,100,NULL,0.00,1,0,3342,30,Strapback - 6 Panel - 100pcs,Hidy Zhao
86,87,896,NULL,3,NULL,2018-05-30 22:12:11,2018-10-01 17:56:43,1,2018-06-05 05:48:01,322,NULL,1,2018-07-01 00:00:00,2018-W21-1,2018-09-18 14:46:08,105,89,negative,100,NULL,0.00,1,0,3342,30,Custom Dad Cap - 100pcs,Hidy Zhao
87,88,923,NULL,3,NULL,2018-05-31 14:02:32,2018-10-01 17:56:43,1,2018-06-05 05:57:07,322,NULL,0,NULL,2018-W21-2,2018-07-12 05:19:01,37,7,negative,30,NULL,0.00,1,0,3351,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
88,89,828,NULL,3,NULL,2018-05-31 14:07:40,2018-10-01 17:56:43,1,2018-06-05 05:57:01,322,NULL,0,NULL,2018-W21-2,2018-07-02 03:22:27,27,-3,positive,1,NULL,0.00,1,0,3318,30,Custom Sample Production Hat,Hidy Zhao
89,90,886,NULL,3,NULL,2018-05-31 16:34:58,2018-10-01 17:56:43,1,2018-06-05 05:56:52,322,NULL,0,NULL,2018-W21-2,2018-07-02 03:23:31,27,-3,positive,50,NULL,0.00,1,0,3339,30,Trucker Mesh - 6 Panel - 50pcs,Hidy Zhao
90,91,935,NULL,3,NULL,2018-05-31 17:39:21,2018-10-01 17:56:43,1,2018-06-05 05:56:47,322,NULL,0,NULL,2018-W21-2,2018-07-12 05:18:02,37,7,negative,50,NULL,0.00,1,0,3356,30,Custom Dad Cap - 50pcs,Hidy Zhao
91,92,936,NULL,3,NULL,2018-05-31 17:39:40,2018-10-01 17:56:43,1,2018-06-05 05:56:40,322,NULL,0,NULL,2018-W21-2,2018-07-12 05:18:32,37,7,negative,50,NULL,0.00,1,0,3356,30,Strapback - 6 Panel - 50pcs,Hidy Zhao
92,93,936,NULL,3,NULL,2018-05-31 18:29:35,2018-10-01 17:56:43,1,2018-06-05 05:56:16,322,NULL,0,NULL,2018-W21-2,2018-07-12 05:18:47,37,7,negative,50,NULL,0.00,1,0,3356,30,Strapback - 6 Panel - 50pcs,Hidy Zhao
93,94,846,NULL,3,NULL,2018-05-31 21:20:23,2018-10-01 17:56:43,1,2018-06-05 05:56:15,322,NULL,0,NULL,2018-W21-2,2018-08-06 05:46:00,62,32,negative,100,NULL,0.00,1,0,3326,30,Beanie Hat - Custom Embellishment - 100pcs,Hidy Zhao
94,95,846,NULL,3,NULL,2018-05-31 21:22:25,2018-10-01 17:56:43,1,2018-06-05 05:56:29,322,NULL,0,NULL,2018-W21-2,2018-08-06 05:46:25,62,32,negative,100,NULL,0.00,1,0,3326,30,Beanie Hat - Custom Embellishment - 100pcs,Hidy Zhao
95,96,917,NULL,3,NULL,2018-05-31 23:10:33,2018-10-01 17:56:43,1,2018-06-05 05:56:25,322,NULL,0,NULL,2018-W21-2,2018-07-02 03:23:00,27,-3,positive,30,NULL,0.00,1,0,3349,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
96,97,918,NULL,3,NULL,2018-05-31 23:10:44,2018-10-01 17:56:43,1,2018-06-05 05:56:21,322,NULL,0,NULL,2018-W21-2,2018-07-02 03:23:12,27,-3,positive,30,NULL,0.00,1,0,3349,30,Custom Camp Cap - 5 Panel - 30pcs,Hidy Zhao
97,98,940,NULL,3,NULL,2018-06-01 14:53:39,2018-10-01 17:56:43,1,2018-06-07 01:39:13,322,NULL,1,2018-07-01 00:00:00,2018-W21-2,2018-08-06 05:44:25,60,46,negative,50,NULL,0.00,1,0,3357,30,End of Year Special - 50pcs,Hidy Zhao
